# {"t_start": 1604712404.5037315, "env_id": "CartpoleSwingShort-v0"} 
r,l,t
22.035504,106,3197.306396
20.091018,106,3197.348248
18.833855,106,3197.38918
19.224343,109,3197.432065
21.564309,106,3197.479903
20.430695,110,3197.524813
20.19389,107,3197.567659
19.850655,108,3197.610544
19.675351,105,3197.652432
22.149228,110,3197.696315
19.820043,111,3197.741196
20.441285,102,3197.782086
21.22317,110,3197.828961
19.658493,110,3197.878864
19.760707,98,3197.920716
20.191195,101,3197.9636
21.550346,101,3198.008482
21.147957,105,3198.065328
20.619865,107,3198.119185
19.658865,100,3198.16606
21.764833,105,3198.218919
19.833552,104,3198.271813
20.197847,108,3198.320686
19.484062,106,3198.370512
19.876675,103,3198.417388
21.305017,104,3198.488236
19.634344,97,3198.53208
19.311587,95,3198.575003
19.857722,109,3198.624832
21.32365,116,3198.683729
21.552465,101,3198.734539
21.985644,109,3198.803354
20.28924,112,3198.882144
18.654644,109,3198.975893
19.411062,103,3199.058671
20.926518,104,3199.139455
19.660631,94,3199.229216
21.963523,108,3199.311995
18.121089,109,3199.373838
20.134414,111,3199.450623
20.555958,102,3199.510463
20.886697,103,3199.568308
20.592833,102,3201.214904
21.910227,104,3201.285714
22.440803,105,3201.349545
20.54876,103,3201.410383
20.265161,100,3201.465237
20.351554,100,3201.522083
19.443408,98,3201.577933
20.109371,94,3201.631791
21.240895,105,3201.686643
21.141377,109,3201.745487
20.970164,99,3201.801338
21.21617,102,3201.858185
20.889264,97,3201.914036
19.592648,106,3201.97986
17.797847,102,3202.034711
21.260744,97,3202.094551
19.296788,102,3202.154392
18.644648,100,3202.209245
20.028042,103,3202.270084
20.947844,99,3202.32294
19.809041,96,3202.376798
21.647577,105,3202.440626
17.724664,97,3202.49149
18.684523,98,3202.54435
18.91528,97,3202.597208
19.815937,108,3202.66303
20.563318,101,3202.740825
20.684034,105,3202.803655
22.314521,102,3202.865491
20.416986,100,3202.925331
20.210828,101,3202.984172
19.983363,101,3203.040022
19.025612,101,3203.094877
18.397377,102,3203.153719
22.315247,106,3203.210603
20.295743,107,3203.26542
19.396044,92,3203.310332
22.463086,108,3203.359197
19.652978,107,3203.409035
