# {"t_start": 1604679538.9705229, "env_id": "Qube-100-v0"} 
r,l,t
1.404144,383,392.527589
0.789693,316,392.749955
1.577213,600,394.671868
1.646043,600,395.123289
1.757472,600,395.572831
1.658282,600,396.014165
1.794241,600,396.471448
1.65018,600,396.901375
1.60849,600,397.346244
1.545533,600,397.787066
1.292603,507,398.161065
1.716885,600,398.633327
1.437994,600,399.113565
1.443715,600,399.548403
1.584016,542,399.945855
0.93051,374,400.207157
0.595543,233,400.389193
1.669318,600,400.824557
1.54788,600,401.27586
1.253638,441,401.59002
1.646312,476,403.159372
1.468115,600,403.613159
0.97985,405,403.91338
1.739991,600,404.363225
1.453698,600,404.803016
1.255986,435,405.110701
1.960939,600,405.557058
2.008879,600,406.006458
1.508589,600,406.457253
1.82495,600,406.891094
1.921288,600,407.335963
1.897627,600,407.765771
1.061247,417,408.073947
1.633064,600,408.533273
1.884465,600,408.963654
1.700097,600,409.427897
1.928514,600,409.872696
1.630297,600,411.811162
0.374266,171,411.938826
1.743846,600,412.369627
1.644148,600,412.819894
1.816983,600,413.275182
1.957928,600,413.702606
1.658838,600,414.140695
0.758978,317,414.3676
2.179636,600,414.810417
1.651957,600,415.245794
0.985069,342,415.501116
1.401394,461,415.848203
1.49598,437,416.189321
1.719074,600,416.633191
0.379459,170,416.749934
1.655808,600,417.223714
1.618771,600,417.70495
1.704796,600,418.200624
1.542997,600,418.698324
0.902262,297,420.414374
1.501576,592,420.90179
0.412364,175,421.055051
